device:browser,device:os,device:type,geo:city,geo:country,geo:ip_address,geo:state,info:cart_contents,info:conversion,info:duration,info:end_time,info:referrer,info:session_id,info:start_time,info:user_id,info:viewed_products,row_key
Chrome,iOS,mobile,Lake Caitlintown,PA,111.199.249.92,PW,{},browsed,2257,2025-03-08T16:48:39,affiliate,sess_9caa24c03d,2025-03-08T16:11:02,user_000042,"[""prod_02523"", ""prod_03377"", ""prod_01581""]",user_000042_2025-03-08T16:11:02_sess_9caa24c03d
Firefox,iOS,desktop,Lake Caitlintown,PA,126.177.100.44,PW,"{""prod_01919"": {""quantity"": 2, ""price"": 390.37}, ""prod_03107"": {""quantity"": 3, ""price"": 171.74}, ""prod_01722"": {""quantity"": 1, ""price"": 276.65}}",abandoned,1630,2025-03-09T11:15:56,affiliate,sess_4b722abaee,2025-03-09T10:48:46,user_000042,"[""prod_03107"", ""prod_01722"", ""prod_00714"", ""prod_03320"", ""prod_00069"", ""prod_01919""]",user_000042_2025-03-09T10:48:46_sess_4b722abaee
Safari,macOS,desktop,Lake Caitlintown,PA,70.224.48.116,PW,{},browsed,2919,2025-03-09T18:18:41,social,sess_9e6f06699b,2025-03-09T17:30:02,user_000042,"[""prod_04949""]",user_000042_2025-03-09T17:30:02_sess_9e6f06699b
Chrome,Windows,desktop,Lake Caitlintown,PA,166.107.15.191,PW,{},browsed,1300,2025-03-09T20:43:04,affiliate,sess_94f2abf1c7,2025-03-09T20:21:24,user_000042,"[""prod_04084"", ""prod_02374""]",user_000042_2025-03-09T20:21:24_sess_94f2abf1c7
Firefox,Windows,mobile,Lake Caitlintown,PA,212.41.152.219,PW,{},browsed,1601,2025-03-10T05:28:13,social,sess_4f67a73162,2025-03-10T05:01:32,user_000042,"[""prod_01080""]",user_000042_2025-03-10T05:01:32_sess_4f67a73162
Firefox,Android,desktop,Lake Caitlintown,PA,146.68.46.139,PW,"{""prod_02399"": {""quantity"": 2, ""price"": 373.18}}",abandoned,2066,2025-03-11T05:34:10,search_engine,sess_11cbd36482,2025-03-11T04:59:44,user_000042,"[""prod_02798"", ""prod_04291"", ""prod_02399""]",user_000042_2025-03-11T04:59:44_sess_11cbd36482
Firefox,Android,tablet,Lake Caitlintown,PA,189.108.39.92,PW,"{""prod_01645"": {""quantity"": 3, ""price"": 436.37}, ""prod_04860"": {""quantity"": 2, ""price"": 307.92}}",converted,1255,2025-03-11T08:54:33,direct,sess_e13dcbc597,2025-03-11T08:33:38,user_000042,"[""prod_00841"", ""prod_01645"", ""prod_03815"", ""prod_00561"", ""prod_03533"", ""prod_04860"", ""prod_01301""]",user_000042_2025-03-11T08:33:38_sess_e13dcbc597
Safari,Android,mobile,Lake Caitlintown,PA,178.105.149.23,PW,"{""prod_02771"": {""quantity"": 1, ""price"": 539.86}, ""prod_00204"": {""quantity"": 3, ""price"": 266.46}}",abandoned,652,2025-03-11T12:29:14,search_engine,sess_1f4ffd679d,2025-03-11T12:18:22,user_000042,"[""prod_02771"", ""prod_00709"", ""prod_00204"", ""prod_02238""]",user_000042_2025-03-11T12:18:22_sess_1f4ffd679d
Safari,Android,mobile,Lake Caitlintown,PA,90.38.54.9,PW,"{""prod_04080"": {""quantity"": 3, ""price"": 309.46}, ""prod_02889"": {""quantity"": 2, ""price"": 353.46}, ""prod_03648"": {""quantity"": 1, ""price"": 104.65}, ""prod_00025"": {""quantity"": 1, ""price"": 136.48}}",abandoned,773,2025-03-11T20:01:21,direct,sess_1adf4d49c1,2025-03-11T19:48:28,user_000042,"[""prod_00798"", ""prod_02889"", ""prod_00025"", ""prod_04080"", ""prod_00261"", ""prod_03648""]",user_000042_2025-03-11T19:48:28_sess_1adf4d49c1
Safari,iOS,mobile,Lake Caitlintown,PA,32.106.21.22,PW,"{""prod_00789"": {""quantity"": 2, ""price"": 242.01}}",converted,1884,2025-03-12T07:38:24,email,sess_ed753e1b4f,2025-03-12T07:07:00,user_000042,"[""prod_00665"", ""prod_00733"", ""prod_01582"", ""prod_00789""]",user_000042_2025-03-12T07:07:00_sess_ed753e1b4f
Chrome,Windows,desktop,Lake Caitlintown,PA,157.229.214.200,PW,"{""prod_02706"": {""quantity"": 1, ""price"": 74.25}}",converted,3440,2025-03-12T08:23:51,email,sess_9bf0bfcf3b,2025-03-12T07:26:31,user_000042,"[""prod_02706"", ""prod_04951"", ""prod_01341""]",user_000042_2025-03-12T07:26:31_sess_9bf0bfcf3b
Chrome,Windows,desktop,Lake Caitlintown,PA,87.196.11.211,PW,"{""prod_04093"": {""quantity"": 1, ""price"": 132.93}, ""prod_01239"": {""quantity"": 2, ""price"": 312.15}}",abandoned,3474,2025-03-12T12:36:41,social,sess_6df8be193b,2025-03-12T11:38:47,user_000042,"[""prod_02135"", ""prod_01239"", ""prod_04093"", ""prod_03984"", ""prod_03931"", ""prod_02857""]",user_000042_2025-03-12T11:38:47_sess_6df8be193b
Firefox,Windows,desktop,Lake Caitlintown,PA,175.107.116.66,PW,"{""prod_02169"": {""quantity"": 1, ""price"": 459.89}}",abandoned,1192,2025-03-12T12:55:40,search_engine,sess_b2c6d97d0a,2025-03-12T12:35:48,user_000042,"[""prod_04805"", ""prod_02851"", ""prod_02169""]",user_000042_2025-03-12T12:35:48_sess_b2c6d97d0a
Firefox,iOS,mobile,Lake Caitlintown,PA,104.204.202.80,PW,"{""prod_04596"": {""quantity"": 3, ""price"": 118.04}}",converted,2965,2025-03-13T04:39:04,direct,sess_1920ba27b3,2025-03-13T03:49:39,user_000042,"[""prod_03120"", ""prod_04837"", ""prod_00516"", ""prod_04609"", ""prod_00341"", ""prod_04596""]",user_000042_2025-03-13T03:49:39_sess_1920ba27b3
Edge,macOS,tablet,Lake Caitlintown,PA,56.159.198.95,PW,{},browsed,2957,2025-03-14T00:15:46,social,sess_efde68dc7d,2025-03-13T23:26:29,user_000042,"[""prod_03933""]",user_000042_2025-03-13T23:26:29_sess_efde68dc7d
Firefox,Windows,desktop,Lake Caitlintown,PA,187.195.184.129,PW,{},browsed,813,2025-03-14T09:50:22,search_engine,sess_909c884e59,2025-03-14T09:36:49,user_000042,"[""prod_03674"", ""prod_01899"", ""prod_01161""]",user_000042_2025-03-14T09:36:49_sess_909c884e59
Edge,Android,desktop,Lake Caitlintown,PA,124.171.231.232,PW,"{""prod_01326"": {""quantity"": 3, ""price"": 69.99}, ""prod_01922"": {""quantity"": 2, ""price"": 87.0}}",abandoned,2904,2025-03-15T07:23:34,search_engine,sess_1d89bbdada,2025-03-15T06:35:10,user_000042,"[""prod_00107"", ""prod_04665"", ""prod_00123"", ""prod_01624"", ""prod_01922"", ""prod_01326"", ""prod_01149""]",user_000042_2025-03-15T06:35:10_sess_1d89bbdada
Edge,Android,tablet,Lake Caitlintown,PA,156.120.79.89,PW,"{""prod_04742"": {""quantity"": 1, ""price"": 294.25}, ""prod_00370"": {""quantity"": 2, ""price"": 353.36}, ""prod_03828"": {""quantity"": 2, ""price"": 22.3}, ""prod_03121"": {""quantity"": 3, ""price"": 279.95}}",converted,1760,2025-03-15T08:03:55,email,sess_ee6303d0c9,2025-03-15T07:34:35,user_000042,"[""prod_01080"", ""prod_01778"", ""prod_00370"", ""prod_04742"", ""prod_03121"", ""prod_03828""]",user_000042_2025-03-15T07:34:35_sess_ee6303d0c9
Firefox,Windows,tablet,Lake Caitlintown,PA,186.157.14.220,PW,"{""prod_00047"": {""quantity"": 1, ""price"": 345.69}}",abandoned,3367,2025-03-15T19:23:53,email,sess_a0f506c4a5,2025-03-15T18:27:46,user_000042,"[""prod_00047"", ""prod_03019"", ""prod_01041"", ""prod_01235"", ""prod_04014""]",user_000042_2025-03-15T18:27:46_sess_a0f506c4a5
Firefox,macOS,desktop,Lake Caitlintown,PA,67.203.225.228,PW,"{""prod_04985"": {""quantity"": 2, ""price"": 459.25}}",abandoned,1854,2025-03-15T19:12:23,email,sess_066ae580eb,2025-03-15T18:41:29,user_000042,"[""prod_04985""]",user_000042_2025-03-15T18:41:29_sess_066ae580eb
Safari,macOS,tablet,Lake Caitlintown,PA,156.139.214.219,PW,"{""prod_01936"": {""quantity"": 1, ""price"": 297.63}, ""prod_02677"": {""quantity"": 2, ""price"": 293.46}}",abandoned,362,2025-03-16T20:37:50,email,sess_de18bf9dd0,2025-03-16T20:31:48,user_000042,"[""prod_02677"", ""prod_01936""]",user_000042_2025-03-16T20:31:48_sess_de18bf9dd0
Chrome,iOS,mobile,Lake Caitlintown,PA,75.15.187.177,PW,{},browsed,1400,2025-03-17T05:24:08,social,sess_c4ecc316f0,2025-03-17T05:00:48,user_000042,"[""prod_00164""]",user_000042_2025-03-17T05:00:48_sess_c4ecc316f0
Chrome,macOS,mobile,Lake Caitlintown,PA,200.188.247.196,PW,"{""prod_02957"": {""quantity"": 1, ""price"": 5.62}}",converted,1448,2025-03-19T19:01:49,search_engine,sess_4271e35b77,2025-03-19T18:37:41,user_000042,"[""prod_02957""]",user_000042_2025-03-19T18:37:41_sess_4271e35b77
Edge,iOS,mobile,Lake Caitlintown,PA,121.152.234.185,PW,"{""prod_04806"": {""quantity"": 1, ""price"": 390.87}}",abandoned,1770,2025-03-20T03:25:30,social,sess_51c89c70f5,2025-03-20T02:56:00,user_000042,"[""prod_04806"", ""prod_03738"", ""prod_04114"", ""prod_04939"", ""prod_04173""]",user_000042_2025-03-20T02:56:00_sess_51c89c70f5
Safari,iOS,mobile,Lake Caitlintown,PA,176.74.105.216,PW,"{""prod_04681"": {""quantity"": 1, ""price"": 579.15}}",converted,1742,2025-03-20T20:26:47,search_engine,sess_b149a123a3,2025-03-20T19:57:45,user_000042,"[""prod_04299"", ""prod_03665"", ""prod_04681""]",user_000042_2025-03-20T19:57:45_sess_b149a123a3
Firefox,macOS,tablet,Lake Caitlintown,PA,62.217.122.129,PW,"{""prod_00933"": {""quantity"": 3, ""price"": 352.91}, ""prod_01978"": {""quantity"": 3, ""price"": 105.11}, ""prod_03351"": {""quantity"": 2, ""price"": 201.73}}",abandoned,2896,2025-03-21T01:53:16,affiliate,sess_dd7c457009,2025-03-21T01:05:00,user_000042,"[""prod_00933"", ""prod_03351"", ""prod_01978"", ""prod_02770""]",user_000042_2025-03-21T01:05:00_sess_dd7c457009
Chrome,Android,mobile,Lake Caitlintown,PA,86.145.0.49,PW,"{""prod_01004"": {""quantity"": 3, ""price"": 211.45}, ""prod_03557"": {""quantity"": 2, ""price"": 220.22}}",abandoned,2016,2025-03-21T04:28:18,direct,sess_d77378aee3,2025-03-21T03:54:42,user_000042,"[""prod_02829"", ""prod_03557"", ""prod_00826"", ""prod_02508"", ""prod_01004""]",user_000042_2025-03-21T03:54:42_sess_d77378aee3
Edge,iOS,desktop,Lake Caitlintown,PA,161.7.50.76,PW,"{""prod_00418"": {""quantity"": 3, ""price"": 114.2}}",converted,3140,2025-03-22T07:53:20,search_engine,sess_f8c61c33bf,2025-03-22T07:01:00,user_000042,"[""prod_00418"", ""prod_03856"", ""prod_00053""]",user_000042_2025-03-22T07:01:00_sess_f8c61c33bf
Safari,iOS,mobile,Lake Caitlintown,PA,23.194.69.60,PW,"{""prod_00413"": {""quantity"": 2, ""price"": 222.66}}",abandoned,603,2025-03-22T19:38:54,affiliate,sess_254b6799ca,2025-03-22T19:28:51,user_000042,"[""prod_00997"", ""prod_00413""]",user_000042_2025-03-22T19:28:51_sess_254b6799ca
Safari,Windows,tablet,Lake Caitlintown,PA,176.11.93.141,PW,"{""prod_01928"": {""quantity"": 3, ""price"": 217.55}, ""prod_04158"": {""quantity"": 1, ""price"": 448.95}, ""prod_00081"": {""quantity"": 1, ""price"": 129.87}}",converted,1382,2025-03-23T08:54:46,affiliate,sess_728383cb68,2025-03-23T08:31:44,user_000042,"[""prod_04158"", ""prod_04127"", ""prod_04718"", ""prod_03211"", ""prod_00081"", ""prod_01928""]",user_000042_2025-03-23T08:31:44_sess_728383cb68
Chrome,macOS,mobile,Lake Caitlintown,PA,5.153.1.240,PW,"{""prod_02323"": {""quantity"": 1, ""price"": 273.29}, ""prod_02127"": {""quantity"": 1, ""price"": 181.75}}",abandoned,1383,2025-03-23T16:56:56,search_engine,sess_3083c494c9,2025-03-23T16:33:53,user_000042,"[""prod_02323"", ""prod_00097"", ""prod_02127"", ""prod_03713""]",user_000042_2025-03-23T16:33:53_sess_3083c494c9
Edge,macOS,desktop,Lake Caitlintown,PA,37.238.224.232,PW,{},browsed,366,2025-03-23T19:19:37,search_engine,sess_bb53527f28,2025-03-23T19:13:31,user_000042,"[""prod_04739"", ""prod_01253""]",user_000042_2025-03-23T19:13:31_sess_bb53527f28
Edge,Windows,mobile,Lake Caitlintown,PA,148.59.120.30,PW,{},browsed,1146,2025-03-24T04:02:17,search_engine,sess_4d90474498,2025-03-24T03:43:11,user_000042,"[""prod_02467"", ""prod_02543""]",user_000042_2025-03-24T03:43:11_sess_4d90474498
Chrome,macOS,mobile,Lake Caitlintown,PA,116.28.99.27,PW,{},browsed,656,2025-03-24T21:24:32,email,sess_b4861edd94,2025-03-24T21:13:36,user_000042,"[""prod_03034""]",user_000042_2025-03-24T21:13:36_sess_b4861edd94
Firefox,Android,tablet,Lake Caitlintown,PA,168.159.207.29,PW,{},browsed,1182,2025-03-25T05:18:58,search_engine,sess_aea69916db,2025-03-25T04:59:16,user_000042,"[""prod_03934"", ""prod_01009""]",user_000042_2025-03-25T04:59:16_sess_aea69916db
Edge,macOS,mobile,Lake Caitlintown,PA,173.13.101.125,PW,"{""prod_04325"": {""quantity"": 3, ""price"": 202.55}, ""prod_03621"": {""quantity"": 3, ""price"": 23.0}}",abandoned,3056,2025-03-25T21:00:12,affiliate,sess_9521b16bc5,2025-03-25T20:09:16,user_000042,"[""prod_03621"", ""prod_04325"", ""prod_04355"", ""prod_01525""]",user_000042_2025-03-25T20:09:16_sess_9521b16bc5
Safari,iOS,tablet,Lake Caitlintown,PA,34.45.166.83,PW,"{""prod_00830"": {""quantity"": 3, ""price"": 340.07}}",abandoned,3279,2025-03-26T03:00:53,email,sess_2c1f541865,2025-03-26T02:06:14,user_000042,"[""prod_02152"", ""prod_00830"", ""prod_02234"", ""prod_04518"", ""prod_01696"", ""prod_00414""]",user_000042_2025-03-26T02:06:14_sess_2c1f541865
Chrome,macOS,desktop,Lake Caitlintown,PA,216.182.32.62,PW,"{""prod_00151"": {""quantity"": 3, ""price"": 143.62}}",abandoned,1205,2025-03-26T09:22:38,direct,sess_1904fd4e9c,2025-03-26T09:02:33,user_000042,"[""prod_00151"", ""prod_00799"", ""prod_01665"", ""prod_00886""]",user_000042_2025-03-26T09:02:33_sess_1904fd4e9c
Firefox,Android,desktop,Lake Caitlintown,PA,66.25.107.12,PW,"{""prod_03584"": {""quantity"": 1, ""price"": 347.35}, ""prod_03733"": {""quantity"": 2, ""price"": 439.29}}",converted,2440,2025-03-26T18:10:37,email,sess_ca30c87141,2025-03-26T17:29:57,user_000042,"[""prod_04357"", ""prod_02481"", ""prod_03584"", ""prod_01450"", ""prod_03733""]",user_000042_2025-03-26T17:29:57_sess_ca30c87141
Edge,Android,tablet,Lake Caitlintown,PA,175.237.37.87,PW,"{""prod_00306"": {""quantity"": 1, ""price"": 513.35}, ""prod_03641"": {""quantity"": 2, ""price"": 424.92}}",abandoned,2953,2025-03-27T08:27:44,direct,sess_8e4b0c2e32,2025-03-27T07:38:31,user_000042,"[""prod_03641"", ""prod_00306""]",user_000042_2025-03-27T07:38:31_sess_8e4b0c2e32
Chrome,macOS,mobile,Lake Caitlintown,PA,132.91.198.141,PW,"{""prod_02980"": {""quantity"": 1, ""price"": 219.39}}",abandoned,1780,2025-03-28T20:07:58,affiliate,sess_8efea526e6,2025-03-28T19:38:18,user_000042,"[""prod_04787"", ""prod_03674"", ""prod_02980"", ""prod_01139""]",user_000042_2025-03-28T19:38:18_sess_8efea526e6
Firefox,Windows,mobile,Lake Caitlintown,PA,24.247.135.134,PW,"{""prod_03479"": {""quantity"": 1, ""price"": 259.76}, ""prod_04673"": {""quantity"": 1, ""price"": 574.81}}",abandoned,378,2025-03-29T00:02:28,direct,sess_b4d020d471,2025-03-28T23:56:10,user_000042,"[""prod_04673"", ""prod_04635"", ""prod_00066"", ""prod_03479"", ""prod_02920""]",user_000042_2025-03-28T23:56:10_sess_b4d020d471
Edge,macOS,tablet,Lake Caitlintown,PA,97.217.119.96,PW,"{""prod_04428"": {""quantity"": 3, ""price"": 340.51}, ""prod_01320"": {""quantity"": 2, ""price"": 198.65}, ""prod_00062"": {""quantity"": 1, ""price"": 289.31}, ""prod_03051"": {""quantity"": 3, ""price"": 360.84}}",converted,2244,2025-03-29T14:22:17,search_engine,sess_f5b110e0d9,2025-03-29T13:44:53,user_000042,"[""prod_01320"", ""prod_00062"", ""prod_04428"", ""prod_01510"", ""prod_00668"", ""prod_03051""]",user_000042_2025-03-29T13:44:53_sess_f5b110e0d9
Firefox,Windows,mobile,Lake Caitlintown,PA,37.137.124.251,PW,{},browsed,2815,2025-03-30T11:35:58,direct,sess_ea20f3e278,2025-03-30T10:49:03,user_000042,"[""prod_03178""]",user_000042_2025-03-30T10:49:03_sess_ea20f3e278
Chrome,Android,mobile,Lake Caitlintown,PA,3.250.97.222,PW,"{""prod_00928"": {""quantity"": 2, ""price"": 451.76}, ""prod_02131"": {""quantity"": 1, ""price"": 494.46}}",abandoned,1854,2025-04-01T11:40:24,search_engine,sess_1a4ad8de91,2025-04-01T11:09:30,user_000042,"[""prod_02131"", ""prod_00928""]",user_000042_2025-04-01T11:09:30_sess_1a4ad8de91
Edge,macOS,mobile,Lake Caitlintown,PA,198.175.229.88,PW,{},browsed,2420,2025-04-03T09:59:53,affiliate,sess_86c987bfc8,2025-04-03T09:19:33,user_000042,"[""prod_02345"", ""prod_03009""]",user_000042_2025-04-03T09:19:33_sess_86c987bfc8
Edge,iOS,mobile,Lake Caitlintown,PA,22.131.197.29,PW,"{""prod_03916"": {""quantity"": 2, ""price"": 212.25}}",converted,3438,2025-04-04T14:17:18,email,sess_840e278fdf,2025-04-04T13:20:00,user_000042,"[""prod_03916""]",user_000042_2025-04-04T13:20:00_sess_840e278fdf
Edge,Android,mobile,Lake Caitlintown,PA,23.137.137.197,PW,"{""prod_00725"": {""quantity"": 2, ""price"": 69.77}}",abandoned,1141,2025-04-04T22:31:52,search_engine,sess_aed2fd3092,2025-04-04T22:12:51,user_000042,"[""prod_03221"", ""prod_03830"", ""prod_00976"", ""prod_04742"", ""prod_00725"", ""prod_00938""]",user_000042_2025-04-04T22:12:51_sess_aed2fd3092
Edge,Android,desktop,Lake Caitlintown,PA,110.32.66.156,PW,{},browsed,2375,2025-04-05T03:08:04,search_engine,sess_06de9375eb,2025-04-05T02:28:29,user_000042,"[""prod_01909"", ""prod_04299"", ""prod_00007"", ""prod_02971"", ""prod_01569""]",user_000042_2025-04-05T02:28:29_sess_06de9375eb
Edge,Android,desktop,Lake Caitlintown,PA,114.102.59.73,PW,"{""prod_01977"": {""quantity"": 1, ""price"": 187.24}}",abandoned,3370,2025-04-05T04:26:31,email,sess_ba585fb394,2025-04-05T03:30:21,user_000042,"[""prod_03768"", ""prod_01977"", ""prod_01319""]",user_000042_2025-04-05T03:30:21_sess_ba585fb394
Chrome,iOS,tablet,Lake Caitlintown,PA,79.222.165.131,PW,"{""prod_00156"": {""quantity"": 3, ""price"": 156.58}, ""prod_02228"": {""quantity"": 3, ""price"": 238.27}, ""prod_02795"": {""quantity"": 3, ""price"": 202.46}}",abandoned,2584,2025-04-05T11:13:40,email,sess_af684baa3b,2025-04-05T10:30:36,user_000042,"[""prod_02795"", ""prod_00078"", ""prod_02228"", ""prod_04654"", ""prod_00156"", ""prod_01380""]",user_000042_2025-04-05T10:30:36_sess_af684baa3b
Firefox,Android,mobile,Lake Caitlintown,PA,26.28.68.119,PW,"{""prod_03918"": {""quantity"": 2, ""price"": 329.2}}",abandoned,3332,2025-04-05T19:37:26,affiliate,sess_9424fea2df,2025-04-05T18:41:54,user_000042,"[""prod_00496"", ""prod_03918""]",user_000042_2025-04-05T18:41:54_sess_9424fea2df
Safari,Windows,desktop,Lake Caitlintown,PA,220.214.234.102,PW,{},browsed,2673,2025-04-06T05:30:35,social,sess_a52f88720c,2025-04-06T04:46:02,user_000042,"[""prod_00956"", ""prod_04118""]",user_000042_2025-04-06T04:46:02_sess_a52f88720c
Firefox,macOS,tablet,Lake Caitlintown,PA,215.134.143.2,PW,{},browsed,3369,2025-04-06T08:58:10,search_engine,sess_5eb79346c1,2025-04-06T08:02:01,user_000042,"[""prod_00796"", ""prod_03061"", ""prod_04291""]",user_000042_2025-04-06T08:02:01_sess_5eb79346c1
Safari,iOS,tablet,Lake Caitlintown,PA,222.191.40.58,PW,{},browsed,3387,2025-04-06T21:31:50,direct,sess_f99a5f507e,2025-04-06T20:35:23,user_000042,"[""prod_02909""]",user_000042_2025-04-06T20:35:23_sess_f99a5f507e
Edge,Windows,desktop,Lake Caitlintown,PA,89.177.1.225,PW,"{""prod_01131"": {""quantity"": 1, ""price"": 164.19}, ""prod_01048"": {""quantity"": 2, ""price"": 326.24}, ""prod_00427"": {""quantity"": 2, ""price"": 202.27}}",converted,384,2025-04-06T22:01:20,search_engine,sess_66b4ddd679,2025-04-06T21:54:56,user_000042,"[""prod_00839"", ""prod_03120"", ""prod_01048"", ""prod_01131"", ""prod_01224"", ""prod_00427""]",user_000042_2025-04-06T21:54:56_sess_66b4ddd679
